SVID Kennzeichen Wert Aufloesung Prioritaet Steuerung
 63. ANMELDUNG           AF   Per Fax                                 
159418. $OBJEKT             00000734d_serien_brief_grid                     
159419. $OBJEKT             00000735d_serien_brief_vorgang                  
159420. $OBJEKT             00000736d_schueler_adr_free_sp                  
159421. $OBJEKT             00000737d_schueler_adr_free_sp_kurz             
159422. $OBJEKT             00000738d_schueler_adr_free_nam                 
159423. $OBJEKT             00000739d_schueler_adr_free_nam_kurz            
159424. $OBJEKT             00000740d_lehrer_wdvl_free                      
159425. $OBJEKT             00000741d_lehrer_wdvl_free_kurz                 
159426. $OBJEKT             00000742d_kurs_wdvl_free_kurz                   
159427. $OBJEKT             00000743d_lehrer_adr_free                       
159428. $OBJEKT             00000744d_lehrer_adr_free_kurz                  
159429. $OBJEKT             00000745d_lehrer_dok_free                       
159430. $OBJEKT             00000746d_lehrer_dok_free_kurz                  
159431. $OBJEKT             00000747d_kurs_wdvl_free                        
159432. $OBJEKT             00000748d_kurs_dok_free_kurz                    
159433. $OBJEKT             00000749d_kurs_dok_free                         
159434. $OBJEKT             00000750d_lehrer_adr_free_sp                    
159435. $OBJEKT             00000751d_lehrer_adr_free_sp_kurz               
159436. $OBJEKT             00000752d_klasse_wdvl_free                      
159437. $OBJEKT             00000753d_klasse_dok_free_kurz                  
159438. $OBJEKT             00000754d_klasse_dok_free                       
159439. $OBJEKT             00000755d_haushalt_wdvl_free_kurz               
159440. $OBJEKT             00000756d_haushalt_wdvl_free                    
159441. $OBJEKT             00000757d_haushalt_dok_free_kurz                
159442. $OBJEKT             00000758d_haushalt_dok_free                     
159443. $OBJEKT             00000759d_gebaeude_wdvl_free_kurz               
159444. $OBJEKT             00000760d_gebaeude_wdvl_free                    
159445. $OBJEKT             00000761d_gebaeude_dok_free_kurz                
159446. $OBJEKT             00000762d_gebaeude_dok_free                     
159447. $OBJEKT             00000763d_gebaeude_adr_free_kurz                
159448. $OBJEKT             00000764d_gebaeude_adr_free                     
159449. $OBJEKT             00000765d_betrieb_wdvl_free_kurz                
159450. $OBJEKT             00000766d_betrieb_wdvl_free                     
159451. $OBJEKT             00000767d_betrieb_dok_free_kurz                 
159452. $OBJEKT             00000768d_betrieb_dok_free                      
159453. $OBJEKT             00000769d_betrieb_adr_info_bildungsgang          
159454. $OBJEKT             00000770d_dokument_bt_datei_ole_grid            
159456. $OBJEKT             00000772d_dokument_gb_datei_ole_grid            
159457. $OBJEKT             00000773d_dokument_hs_datei_ole_grid            
159458. $OBJEKT             00000774d_dokument_kl_datei_ole_grid            
159459. $OBJEKT             00000775d_dokument_ku_datei_ole_grid            
159460. $OBJEKT             00000776d_dokument_le_datei_ole_grid            
159461. $OBJEKT             00000777d_dokument_pu_datei_ole_grid            
159462. $OBJEKT             00000778d_dokument_sc_datei_ole_grid            
159463. $OBJEKT             00000779d_dokument_ve_datei_ole_grid            
159464. $OBJEKT             00000780d_betrieb_adr_free                      
159465. $OBJEKT             00000781d_betrieb_adr_free_kurz                 
159466. $OBJEKT             00000782d_betrieb_adr_free_sp                   
159467. $OBJEKT             00000783d_betrieb_adr_free_sp_kurz              
159468. $OBJEKT             00000784d_aktenplan_dok_free_ro                 
159469. $OBJEKT             00000785d_aktenplan_free_ro                     
159470. $OBJEKT             00000786d_aktenplan_grid                        
159471. $OBJEKT             00000787d_aao_dok_free                          
159472. $OBJEKT             00000788d_aao_dok_free_kurz                     
159473. $OBJEKT             00000789d_adresse_familie_grid                  
159474. $OBJEKT             00000790d_adresse_info_grid                     
159475. $OBJEKT             00000791d_adresse_info_kategorie_grid           
159476. $OBJEKT             00000792d_adresse_info_staat                    
159477. $OBJEKT             00000793d_adresse_info_veroe_grid               
159478. $OBJEKT             00000794d_adresse_info_kategorie_bt             
159479. $OBJEKT             00000795d_adresse_info_kategorie_gb             
159480. $OBJEKT             00000796d_adresse_info_kategorie_le             
159481. $OBJEKT             00000797d_adresse_info_kategorie_ve             
159482. $OBJEKT             00000798d_adresse_info_kategorie_sc             
159483. $OBJEKT             00000799d_adresse_le_suche_grid                 
159484. $OBJEKT             00000800d_adresse_bt_suche_grid                 
159485. $OBJEKT             00000801d_adresse_info_briefadresse_free          
159486. $OBJEKT             00000802d_klasse_wdvl_free_kurz                 
159487. $OBJEKT             00000803d_vertrag_adr_free                      
159488. $OBJEKT             00000804d_vertrag_adr_free_kurz                 
159489. $OBJEKT             00000805d_vertrag_adr_info_free                 
159490. $OBJEKT             00000806d_vertrag_dok_free                      
159491. $OBJEKT             00000807d_vertrag_dok_free_kurz                 
159492. $OBJEKT             00000808d_vertrag_wdvl_free                     
159493. $OBJEKT             00000809d_vertrag_wdvl_free_kurz                
159494. $OBJEKT             00000810d_wdvl_versch_free                      
159495. $OBJEKT             00000811d_wdvl_versch_free_kurz                 
159496. $OBJEKT             00000812d_wiedervorlage_free                    
159497. $OBJEKT             00000813d_wiedervorlage_grid                    
159498. $OBJEKT             00000814d_vertrag_adr_info_internat             
159499. $OBJEKT             00000815d_dokument_kalender                     
159500. $OBJEKT             00000816d_doku_info_zahl_free_ro                
159501. $OBJEKT             00000817d_vorlage_free                          
159502. $OBJEKT             00000818d_doku_info_zahl_free                   
159503. $OBJEKT             00000819d_vorlage_grid                          
159504. $OBJEKT             00000820d_vorlage_info_datum_free               
159505. $OBJEKT             00000821d_doku_info_vorgang_grid_ro             
159506. $OBJEKT             00000822d_vorlage_info_text_free                
159507. $OBJEKT             00000823d_doku_info_vorgang_grid                
159508. $OBJEKT             00000824d_vorlage_info_textbaustein_grid          
159509. $OBJEKT             00000825d_doku_info_text_free_ro                
159510. $OBJEKT             00000826d_doku_info_text_free                   
159511. $OBJEKT             00000827d_vorlage_info_zahl_free                
159512. $OBJEKT             00000828d_doku_info_sonst_free_kurz             
159513. $OBJEKT             00000829d_vorlage_sql_free                      
159514. $OBJEKT             00000830d_doku_info_sonst_free                  
159515. $OBJEKT             00000831d_vorlage_sql_order_free                
159516. $OBJEKT             00000832d_doku_info_fax_grid_ro                 
159517. $OBJEKT             00000833d_vorlage_sql_where_free                
159518. $OBJEKT             00000834d_vorlage_suche_grid                    
159528. $OBJEKT             00000844d_aao_bestellung_free_kurz              
159519. $OBJEKT             00000835d_reorg_vorlage_dokument                
159520. $OBJEKT             00000836d_doku_info_ber_gruppe_grid             
159521. $OBJEKT             00000837d_doku_info_akten_zeichen_grid          
159522. $OBJEKT             00000838d_doku_info_ber_user_grid               
159523. $OBJEKT             00000839d_doku_info_datum_free                  
159524. $OBJEKT             00000840d_doku_info_datum_free_ro               
159525. $OBJEKT             00000841d_doku_info_email_grid_ro               
159527. $OBJEKT             00000843d_aao_free                              
159529. $OBJEKT             00000845d_aao_bestellung_free                   
159530. $OBJEKT             00000846d_medium_buchung_free                   
159531. $OBJEKT             00000847d_medium_free                           
159532. $OBJEKT             00000848d_medium_free_2_ro                      
159533. $OBJEKT             00000849d_medium_grid                           
159534. $OBJEKT             00000850d_medium_einzel_free_ro                 
159535. $OBJEKT             00000851d_medium_einzel_free_ro_kurz            
159536. $OBJEKT             00000852d_paket_einzel_grid                     
159537. $OBJEKT             00000853d_paket_kopf_free                       
159538. $OBJEKT             00000854d_paket_kopf_grid                       
159539. $OBJEKT             00000855d_medium_einzel_grid_ds                 
159540. $OBJEKT             00000856d_treeview_medium_entliehen             
